酒莊名稱,產區,國家,官方網站,Wine.com,Vivino,Wine-Searcher,其他平台
Darioush,Napa Valley,USA,https://www.darioush.com/,https://www.wine.com/list/wine/darioush/7155-124-1,https://www.vivino.com/wineries/darioush,,,
Peter Franus,Napa Valley,USA,https://peterfranus.com/,,,,
Staglin Family,Napa Valley,USA,https://www.staglinfamily.com/,,,,
Grgich Hills,Napa Valley,USA,https://grgich.com/,,,,
Robert Mondavi,Napa Valley,USA,https://robertmondaviwinery.com/,,,,
Miner Family,Napa Valley,USA,https://minerwines.com/,,,,
Lamborn Family,Howell Mountain,USA,https://www.lamborn.com/,,,,
Spring Mountain Vineyard,Napa Valley,USA,https://www.springmountainvineyard.com/,,,,
Swanson Vineyards,Napa Valley,USA,https://www.swansonvineyards.com/,,,,
Hestan Vineyards,Napa Valley,USA,https://www.hestanvineyards.com/,,,,
Kamen Estate,Sonoma,USA,https://kamenwines.com/,,,,
Ca'momi,Napa Valley,USA,https://www.camomiwinery.com/,,,,
Alma Rosa,Santa Barbara,USA,https://www.almarosawinery.com/,,,,
Somerston,Napa Valley,USA,https://somerstonwineco.com/,,,,
Cosentino,Napa Valley,USA,https://www.cosentinowinery.com/,,,,
B.R. Cohn,Sonoma Valley,USA,https://www.brcohn.com/,,,,
DiArie Vineyards,Amador County,USA,https://cgdiarie.com/,,,,
Cartlidge & Browne,California,USA,https://cartlidgeandbrowne.com/,,,,
Kanpai Wines,Napa Valley,USA,https://kanpai.wine/,,,,
Purple Cowboy,Paso Robles,USA,無獨立官網,,https://www.vivino.com/wineries/purple-cowboy,,
Silver Ghost,Napa Valley,USA,https://www.silverghostcellars.com/,,https://www.vivino.com/en/silver-ghost-napa-valley-cabernet-sauvignon/,,
Lucky Rock,Sonoma/Monterey,USA,無獨立官網,,,,https://www.wineenthusiast.com/
Horseplay,Paso Robles,USA,無獨立官網,,,,
La Bastide Saint Dominique,Châteauneuf-du-Pape,France,https://bastide-st-dominique.com/en/,,,https://www.wine-searcher.com/find/la+bastide+st+dominique+chateauneuf+du+pape,
Domaine Des Escaravailles,Rasteau,France,https://www.domaine-escaravailles.com/,,https://www.vivino.com/fr/domaine-des-escaravailles-les-sablieres-cotes-du-rhone/,,
Domaine De La Bastidonne,Ventoux,France,https://www.domaine-la-bastidonne.com/en/,https://www.wine.com/list/wine/domaine-de-la-bastidonne/7155-112969,https://www.vivino.com/en/domaine-de-la-bastidonne-ventoux-rouge/,https://www.wine-searcher.com/find/dom+de+la+bastidonne+le+courtilles+ventoux+rhone+france,
Domaine La Monardiere,Vacqueyras,France,https://www.monardiere.com/en,,,,https://www.bowlerwine.com/
Domaine Yann Chave,Hermitage,France,https://www.yannchave.com/en/home-page,,,https://www.wine-searcher.com/find/yann+chave+hermitage+rhone+france,
Domaine Du Colombier,Hermitage,France,無獨立官網,,,https://www.wine-searcher.com/find/dom+du+colombier+rouge+hermitage+rhone+france,https://www.thewinecellarinsider.com/
Chateau Trinquevedel,Tavel,France,https://www.chateau-trinquevedel.fr/en/,,,,https://kermitlynch.com/
Dissaux Brochot,Champagne,France,https://www.champagne-dissaux-brochot.com/,,https://www.vivino.com/en/dissaux-brochot-cuvee-prestige-brut-champagne/,https://www.wine-searcher.com/find/dissaux+brochot+brut+champagne+france,
Bodegas Leza Garcia,Rioja,Spain,http://www.bodegasleza.com/,,,,https://riojawine.com/
